Open,High,Low,Close,Volume
87640.01,87771.85,86668.21,87325.59,2742.83285
87325.59,88435.16,87252.0,87870.27,2102.34838
87870.26,88168.63,87373.45,88098.99,1707.79199
88098.99,88443.83,87736.0,88364.07,1227.36308
88364.07,88473.7,88116.0,88218.21,995.01845
88218.22,88242.43,87073.38,87454.57,2138.56254
87454.58,87860.46,87276.01,87724.0,1229.77864
87724.0,88182.69,87584.2,88182.67,1425.90985
88182.68,88391.99,87588.0,87612.0,2089.72502
87612.01,88165.91,87368.0,88082.96,1347.90092
88082.96,89350.0,88024.4,89195.99,2296.3023
89195.99,89458.13,88943.53,89354.55,1429.92991
89354.54,89771.99,89138.94,89741.25,1566.32537
89741.24,90709.74,89591.55,89753.84,2627.03494
89753.84,90482.3,89241.57,90148.0,1904.87357
90148.0,90200.0,88585.33,89107.98,3372.88896
89107.97,89134.74,87754.45,88445.41,3999.02812
88445.4,89768.41,88386.99,89375.99,2745.84242
89376.0,89944.0,89191.47,89484.85,1835.70209
89484.84,89810.0,89214.55,89387.99,1353.64414
89388.0,90844.9,89260.0,90377.89,2737.65262
90377.89,91461.01,90324.85,91447.98,3159.42709
91447.99,91830.35,91067.6,91678.78,2173.04829
91678.78,91850.0,91033.66,91208.0,1278.88642
91208.0,91450.0,90866.72,91032.07,1182.96557
91032.08,91348.5,90850.0,91000.0,1330.88177
91000.0,91442.11,90942.42,91249.29,919.75125
91249.3,91709.06,91151.51,91405.54,1116.54026
91405.54,91597.08,91053.48,91252.03,882.78064
91252.04,91400.0,91064.24,91269.69,674.33101
91269.7,91779.66,91144.74,91350.34,837.02267
91350.34,91447.74,91149.76,91192.0,799.84039
91192.0,91388.45,91068.19,91117.53,717.08105
91117.52,91430.0,91025.11,91425.98,991.0455
91425.98,91428.0,91199.18,91235.24,723.99711
91235.23,91598.13,91220.15,91393.93,1068.90218
91393.94,91423.33,90993.15,91169.69,1188.75818
91169.69,91320.0,90500.0,90894.74,1543.84482
90894.75,91190.0,90684.21,90755.99,838.5499
90756.0,91074.22,90608.8,90968.0,856.47747
90968.01,91016.93,90056.17,90521.2,2183.32434
90521.2,90865.48,90186.64,90612.65,1292.44473
90612.64,91000.0,90505.39,90904.03,693.43545
90904.02,91396.03,90840.0,91303.04,840.12951
91303.04,91332.0,90949.61,91100.24,640.3715
91100.23,91181.82,90670.6,90752.01,672.80452
90752.01,91067.67,90702.0,90993.5,519.9409
90993.49,91000.0,90300.0,90328.39,697.50998
90328.39,90651.98,90328.0,90586.92,688.11176
90587.98,90888.0,90576.0,90808.0,501.8679
90808.0,90876.81,90001.0,90272.74,1256.20862
90272.73,90272.74,89364.0,90024.01,2502.31411
90024.02,90247.86,89775.37,90247.86,690.33334
90247.86,90681.37,90158.56,90576.0,1106.20149
90576.01,90888.0,90374.45,90470.13,676.89936
90470.13,90769.99,90369.72,90645.44,518.74589
90645.44,90666.67,90368.0,90550.8,672.2689
90550.8,91050.01,90478.99,90985.11,1120.60865
90985.11,91449.99,90968.8,91295.24,1069.2219
91295.24,91330.88,90882.74,91056.0,541.78681
91055.99,91076.0,90508.0,90684.19,1197.47782
90684.19,91189.88,90632.0,91080.68,972.81942
91080.68,91112.0,90310.0,90504.01,1124.65301
90504.02,90765.96,89925.91,90310.91,1342.19407
90310.92,90587.99,90114.5,90260.01,727.14765
90260.01,90523.45,90076.29,90446.92,733.62749
90446.91,90640.18,90150.23,90578.66,731.60128
90578.66,90616.78,89832.44,89936.0,852.41957
89936.0,90140.0,89664.34,90044.0,794.74329
90044.0,90212.13,89500.0,89636.0,984.0257
89636.0,89748.02,89002.08,89137.98,1208.84489
89137.97,89647.84,88722.0,89556.0,1526.58089
89556.0,89863.99,89316.98,89855.99,1014.96404
89855.98,90120.74,89617.96,89940.0,744.60437
89940.0,90935.44,89894.38,90747.57,1089.21916
90747.57,90847.61,90405.01,90493.89,733.42403
90493.88,90676.92,90300.0,90668.58,684.98496
90668.58,90700.0,90438.85,90441.3,440.84819
90441.3,90809.36,90441.29,90615.71,706.34235
90615.72,92079.3,90615.71,92061.84,2850.16791
92061.84,92300.0,91415.79,91719.9,2381.3064
91719.9,92141.13,91555.54,91810.61,1210.88132
91810.6,92211.99,91640.0,91710.6,1098.76634
91710.59,92016.0,91680.0,91769.42,1099.18688
91769.43,91816.01,90051.1,90275.13,3079.76212
90275.13,90757.58,90100.5,90517.13,1724.96027
90517.14,90595.98,89376.9,89502.23,2600.74405
89502.23,91053.58,89436.29,90308.01,3049.73206
90308.0,92594.0,90242.61,92309.51,5498.53658
92309.51,92584.95,91121.23,91403.12,3213.18996
91403.12,92149.85,90904.25,91564.69,2525.68968
91564.69,91660.9,90100.0,90356.8,2030.63341
90356.8,90640.0,89667.66,90608.26,2185.28321
90608.26,91924.04,90412.0,91473.42,3550.12502
